Ticker;Index;SECURITY_NAME; GICS_SECTOR_NAME ; GICS_INDUSTRY_NAME ; COUNTRY_FULL_NAME 
BA UN Equity;SPX; Boeing Co/The ; Industrials ; Aerospace & Defense ; UNITED STATES 
CAT UN Equity;SPX; Caterpillar Inc ; Industrials ; Machinery ; UNITED STATES 
JPM UN Equity;SPX; JPMorgan Chase & Co ; Financials ; Banks ; UNITED STATES 
CVX UN Equity;SPX; Chevron Corp ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
KO UN Equity;SPX; Coca-Cola Co/The ; Consumer Staples ; Beverages ; UNITED STATES 
ABBV UN Equity;SPX; AbbVie Inc ; Health Care ; Biotechnology ; UNITED STATES 
DIS UN Equity;SPX; Walt Disney Co/The ; Communication Services ; Entertainment ; UNITED STATES 
FLT UN Equity;SPX; FleetCor Technologies Inc ; Information Technology ; IT Services ; UNITED STATES 
EXR UN Equity;SPX; Extra Space Storage Inc ; Real Estate ; Equity Real Estate Investment ; UNITED STATES 
XOM UN Equity;SPX; Exxon Mobil Corp ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
PSX UN Equity;SPX; Phillips 66 ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
GE UN Equity;SPX; General Electric Co ; Industrials ; Industrial Conglomerates ; UNITED STATES 
HPQ UN Equity;SPX; HP Inc ; Information Technology ; Technology Hardware, Storage & ; UNITED STATES 
HD UN Equity;SPX; Home Depot Inc/The ; Consumer Discretionary ; Specialty Retail ; UNITED STATES 
IBM UN Equity;SPX; International Business Machine ; Information Technology ; IT Services ; UNITED STATES 
CXO UN Equity;SPX; Concho Resources Inc ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
JNJ UN Equity;SPX; Johnson & Johnson ; Health Care ; Pharmaceuticals ; UNITED STATES 
MCD UN Equity;SPX; McDonald's Corp ; Consumer Discretionary ; Hotels, Restaurants & Leisure ; UNITED STATES 
MRK UN Equity;SPX; Merck & Co Inc ; Health Care ; Pharmaceuticals ; UNITED STATES 
MMM UN Equity;SPX; 3M Co ; Industrials ; Industrial Conglomerates ; UNITED STATES 
AWK UN Equity;SPX; American Water Works Co Inc ; Utilities ; Water Utilities ; UNITED STATES 
BAC UN Equity;SPX; Bank of America Corp ; Financials ; Banks ; UNITED STATES 
BKR UN Equity;SPX; Baker Hughes Co ; Energy ; Energy Equipment & Services ; UNITED STATES 
PFE UN Equity;SPX; Pfizer Inc ; Health Care ; Pharmaceuticals ; UNITED STATES 
PG UN Equity;SPX; Procter & Gamble Co/The ; Consumer Staples ; Household Products ; UNITED STATES 
T UN Equity;SPX; AT&T Inc ; Communication Services ; Diversified Telecommunication ; UNITED STATES 
TRV UN Equity;SPX; Travelers Cos Inc/The ; Financials ; Insurance ; UNITED STATES 
RTX UN Equity;SPX; Raytheon Technologies Corp ; Industrials ; Aerospace & Defense ; UNITED STATES 
ADI UW Equity;SPX; Analog Devices Inc ; Information Technology ; Semiconductors & Semiconductor ; UNITED STATES 
WMT UN Equity;SPX; Walmart Inc ; Consumer Staples ; Food & Staples Retailing ; UNITED STATES 
CSCO UW Equity;SPX; Cisco Systems Inc ; Information Technology ; Communications Equipment ; UNITED STATES 
INTC UW Equity;SPX; Intel Corp ; Information Technology ; Semiconductors & Semiconductor ; UNITED STATES 
GM UN Equity;SPX; General Motors Co ; Consumer Discretionary ; Automobiles ; UNITED STATES 
MSFT UW Equity;SPX; Microsoft Corp ; Information Technology ; Software ; UNITED STATES 
DG UN Equity;SPX; Dollar General Corp ; Consumer Discretionary ; Multiline Retail ; UNITED STATES 
CI UN Equity;SPX; Cigna Corp ; Health Care ; Health Care Providers & Servic ; UNITED STATES 
KMI UN Equity;SPX; Kinder Morgan Inc ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
C UN Equity;SPX; Citigroup Inc ; Financials ; Banks ; UNITED STATES 
AIG UN Equity;SPX; American International Group I ; Financials ; Insurance ; UNITED STATES 
HON UN Equity;SPX; Honeywell International Inc ; Industrials ; Industrial Conglomerates ; UNITED STATES 
MO UN Equity;SPX; Altria Group Inc ; Consumer Staples ; Tobacco ; UNITED STATES 
HCA UN Equity;SPX; HCA Healthcare Inc ; Health Care ; Health Care Providers & Servic ; UNITED STATES 
UAA UN Equity;SPX; Under Armour Inc ; Consumer Discretionary ; Textiles, Apparel & Luxury Goo ; UNITED STATES 
IP UN Equity;SPX; International Paper Co ; Materials ; Containers & Packaging ; UNITED STATES 
HPE UN Equity;SPX; Hewlett Packard Enterprise Co ; Information Technology ; Technology Hardware, Storage & ; UNITED STATES 
ABT UN Equity;SPX; Abbott Laboratories ; Health Care ; Health Care Equipment & Suppli ; UNITED STATES 
AFL UN Equity;SPX; Aflac Inc ; Financials ; Insurance ; UNITED STATES 
APD UN Equity;SPX; Air Products and Chemicals Inc ; Materials ; Chemicals ; UNITED STATES 
RCL UN Equity;SPX; Royal Caribbean Cruises Ltd ; Consumer Discretionary ; Hotels, Restaurants & Leisure ; UNITED STATES 
HES UN Equity;SPX; Hess Corp ; Energy ; Oil, Gas & Consumable Fuels ; UNITED STATES 
ADM UN Equity;SPX; Archer-Daniels-Midland Co ; Consumer Staples ; Food Products ; UNITED STATES 
ADP UW Equity;SPX; Automatic Data Processing Inc ; Information Technology ; IT Services ; UNITED STATES 
VRSK UW Equity;SPX; Verisk Analytics Inc ; Industrials ; Professional Services ; UNITED STATES 
AZO UN Equity;SPX; AutoZone Inc ; Consumer Discretionary ; Specialty Retail ; UNITED STATES 
AVY UN Equity;SPX; Avery Dennison Corp ; Materials ; Containers & Packaging ; UNITED STATES 
