type;date;company;value
IS_EPS;2005-12-30;EXR UN Equity;-
IS_EPS;2017-12-29;AWK UN Equity;-
IS_EPS;2012-09-28;BAC UN Equity;-
IS_EPS;2017-06-30;BKR UN Equity;-
NET_INCOME;2016-09-30;BKR UN Equity;-
NET_INCOME;2017-06-30;BKR UN Equity;-
IS_EPS;1991-12-31;PFE UN Equity;-
IS_EPS;1991-03-28;MO UN Equity;-
IS_EPS;2009-03-31;ADM UN Equity;-
IS_EPS;2015-09-30;BAX UN Equity;-
IS_EPS;2013-09-30;BSX UN Equity;-
IS_EPS;2014-06-30;BSX UN Equity;-
IS_EPS;2015-03-31;BSX UN Equity;-
IS_EPS;1999-06-30;COG UN Equity;-
NET_INCOME;1998-12-31;COG UN Equity;-
EBIT;2000-03-31;CCL UN Equity;-
IS_EPS;2002-12-31;UDR UN Equity;-
IS_EPS;2013-03-28;UDR UN Equity;-
IS_EPS;2002-06-28;AON UN Equity;-
NET_INCOME;2002-06-28;AON UN Equity;-
IS_EPS;2004-03-31;IT UN Equity;-
IS_EPS;2004-09-30;IT UN Equity;-
IS_EPS;2003-12-31;FCX UN Equity;-
IS_EPS;2019-12-31;FCX UN Equity;-
IS_EPS;2003-06-30;ATO UN Equity;-
EBIT;1992-06-30;HUM UN Equity;-
EBIT;1998-09-30;HUM UN Equity;-
IS_EPS;2010-03-31;TT UN Equity;-
IS_EPS;2015-03-31;IPG UN Equity;-
IS_EPS;2004-12-31;LLY UN Equity;-
IS_EPS;2008-12-31;XRX UN Equity;-
IS_EPS;2015-03-31;MDT UN Equity;-
IS_EPS;2003-12-31;MU UW Equity;-
IS_EPS;2008-06-30;MSI UN Equity;-
IS_EPS;1994-09-30;LH UN Equity;-
IS_EPS;1995-12-29;LH UN Equity;-
IS_EPS;1998-09-30;LH UN Equity;-
IS_EPS;2018-12-31;NEM UN Equity;-
IS_EPS;1999-06-30;ES UN Equity;-
NET_INCOME;1994-12-30;OXY UN Equity;-
IS_EPS;2013-06-28;OKE UN Equity;-
IS_EPS;2000-03-31;PGR UN Equity;-
